View name,View index,Feature name,Area,X,Y,Overlapping pixels (cyan),ViDi markings only pixels (pink),Region only pixels (mustard)
100122202009_Blue_Lane [1]_RackIndex[10]_Date_01_23_2020_ 1476,0,defect,1009,484.5639,115.7879,897,88,24
100122202010_Blue_Lane [1]_RackIndex[5]_Date_01_23_2020_ 1466,0,defect,845,474.8769,118.8935,714,98,33
100122202011_Blue_Lane [1]_RackIndex[1]_Date_01_23_2020_ 1458,0,defect,1183,480.2358,115.2654,1043,104,36
100122202012_Blue_Lane [1]_RackIndex[2]_Date_01_23_2020_ 1460,0,defect,662,535.3203,112.2085,405,57,200
100122202013_Blue_Lane [1]_RackIndex[3]_Date_01_23_2020_ 1462,0,defect,1162,447.494,119.7048,878,105,179
100122202014_Blue_Lane [1]_RackIndex[4]_Date_01_23_2020_ 1464,0,defect,989,458.9353,117.7503,836,98,55
100122202015_Blue_Lane [1]_RackIndex[6]_Date_01_23_2020_ 1468,0,defect,1274,555.314,116.7433,1140,114,20
100123202035_Blue_Lane [2]_RackIndex[8]_Date_02_03_2020_ 0566,0,defect,1095,518.526,117.8457,914,117,64
100123202036_Blue_Lane [2]_RackIndex[7]_Date_02_03_2020_ 0564,0,defect,1641,524.8732,117.9019,1515,99,27
100123202037_Blue_Lane [2]_RackIndex[6]_Date_02_03_2020_ 0562,0,defect,1178,526.8582,116.3523,1056,102,20
100123202038_Blue_Lane [2]_RackIndex[5]_Date_02_03_2020_ 0560,0,defect,1190,551.3437,115.5092,1014,115,61
100123202039_Blue_Lane [2]_RackIndex[4]_Date_02_03_2020_ 0558,0,defect,767,537.1995,117.0847,594,116,57
100123202040_Blue_Lane [2]_RackIndex[3]_Date_02_03_2020_ 0556,0,defect,938,577.1898,116.9009,476,58,404
100123202041_Blue_Lane [2]_RackIndex[2]_Date_02_03_2020_ 0554,0,defect,1431,523.928,117.8365,1264,89,78
100123202042_Blue_Lane [2]_RackIndex[1]_Date_02_03_2020_ 0552,0,defect,1483,525.9521,116.2583,1349,90,44
100123202043_Blue_Lane [1]_RackIndex[16]_Date_02_03_2020_ 0550,0,defect,1097,482.9991,116.3774,931,123,43
100123202044_Blue_Lane [1]_RackIndex[15]_Date_02_03_2020_ 0548,0,defect,1112,454.6322,115.6034,867,93,152
100123202045_Blue_Lane [1]_RackIndex[14]_Date_02_03_2020_ 0546,0,defect,1151,412.1607,123.225,903,94,154
100123202046_Blue_Lane [1]_RackIndex[13]_Date_02_03_2020_ 0544,0,defect,1408,589.6967,114.0078,1251,61,96
100123202047_Blue_Lane [1]_RackIndex[12]_Date_02_03_2020_ 0542,0,defect,912,531.2884,115.727,689,136,87
100123202048_Blue_Lane [1]_RackIndex[11]_Date_02_03_2020_ 0540,0,defect,1332,525.2778,118.9977,1201,81,50
100123202049_Blue_Lane [1]_RackIndex[10]_Date_02_03_2020_ 0538,0,defect,1022,462.775,116.0284,897,103,22
100123202050_Blue_Lane [1]_RackIndex[9]_Date_02_03_2020_ 0536,0,defect,1181,464.8146,115.9331,1065,88,28
100123202051_Blue_Lane [1]_RackIndex[8]_Date_02_03_2020_ 0534,0,defect,866,498.0173,118.0774,736,109,21
100123202052_Blue_Lane [1]_RackIndex[7]_Date_02_03_2020_ 0532,0,defect,1516,427.4327,115.0231,1383,89,44
100123202053_Blue_Lane [1]_RackIndex[6]_Date_02_03_2020_ 0530,0,defect,948,432.2489,114.1466,812,92,44
100123202054_Blue_Lane [1]_RackIndex[5]_Date_02_03_2020_ 0528,0,defect,1418,476.1291,119.0346,1253,88,77
100123202055_Blue_Lane [1]_RackIndex[4]_Date_02_03_2020_ 0526,0,defect,670,427.7657,118.6493,548,98,24
100123202056_Blue_Lane [1]_RackIndex[3]_Date_02_03_2020_ 0524,0,defect,1149,451.3316,116.1958,984,88,77
100123202057_Blue_Lane [1]_RackIndex[2]_Date_02_03_2020_ 0522,0,defect,1108,502.8348,117.5334,0,0,1108
100123202058_Blue_Lane [1]_RackIndex[1]_Date_02_03_2020_ 0520,0,defect,1385,471.3531,116.4303,1300,72,13
100128202001_Blue_Lane [2]_RackIndex[9]_Date_02_03_2020_ 0568,0,defect,1598,475.3786,115.2297,545,2,1051
100128202002_Blue_Lane [2]_RackIndex[10]_Date_02_03_2020_ 0570,0,defect,1371,486.2582,119.0336,1259,83,29
100128202003_Blue_Lane [2]_RackIndex[11]_Date_02_03_2020_ 0572,0,defect,1126,505.5329,112.2655,1005,96,25
100128202004_Blue_Lane [2]_RackIndex[12]_Date_02_03_2020_ 0574,0,defect,3071,428.9515,115.7968,840,2,2229
100128202005_Blue_Lane [2]_RackIndex[13]_Date_02_03_2020_ 0576,0,defect,707,463.5149,111.9109,580,95,32
100128202006_Blue_Lane [2]_RackIndex[14]_Date_02_03_2020_ 0578,0,defect,1181,342.3531,114.2091,1041,117,23
100128202007_Blue_Lane [2]_RackIndex[15]_Date_02_03_2020_ 0580,0,defect,1117,440.9517,115.0967,975,110,32
100128202008_Blue_Lane [2]_RackIndex[16]_Date_02_03_2020_ 0582,0,defect,707,555.1909,118.0735,612,72,23
100128202009_Blue_Lane [3]_RackIndex[1]_Date_02_03_2020_ 0584,0,defect,1299,449.7213,112.535,1187,80,32
100128202010_Blue_Lane [3]_RackIndex[2]_Date_02_03_2020_ 0586,0,defect,1152,487.6779,115.9592,1028,105,19
100128202011_Blue_Lane [3]_RackIndex[3]_Date_02_03_2020_ 0588,0,defect,1077,449.2776,113.3538,932,109,36
100128202012_Blue_Lane [3]_RackIndex[4]_Date_02_03_2020_ 0590,0,defect,1486,492.9186,117.0013,1353,84,49
100128202013_Blue_Lane [3]_RackIndex[5]_Date_02_03_2020_ 0592,0,defect,853,403.6378,121.3611,696,103,54
100128202014_Blue_Lane [3]_RackIndex[6]_Date_02_03_2020_ 0594,0,defect,1506,578.5637,113.7749,1334,101,71
100128202015_Blue_Lane [3]_RackIndex[7]_Date_02_03_2020_ 0596,0,defect,1685,458.0451,113.7798,1582,99,4
100128202016_Blue_Lane [3]_RackIndex[8]_Date_02_03_2020_ 0598,0,defect,1315,459.2616,115.4874,1196,101,18
100128202017_Blue_Lane [3]_RackIndex[9]_Date_02_03_2020_ 0600,0,defect,1232,455.1623,114.9619,1090,104,38
100128202018_Blue_Lane [3]_RackIndex[10]_Date_02_03_2020_ 0602,0,defect,404,520.6534,140.7525,234,124,46
100128202019_Blue_Lane [3]_RackIndex[11]_Date_02_03_2020_ 0604,0,defect,674,442.5208,114.1988,551,79,44
100128202020_Blue_Lane [3]_RackIndex[12]_Date_02_03_2020_ 0606,0,defect,582,517.0859,116.0137,0,0,582
