View name,View index,Feature name,Area,X,Y,Overlapping pixels (cyan),ViDi markings only pixels (pink),Region only pixels (mustard)
100109202028_Blue_Lane [1]_RackIndex[4]_Date_01_10_2020_ 0728,0,defect,1118,527.5903,117.1297,994,115,9
100109202028_Blue_Lane [1]_RackIndex[4]_Date_01_10_2020_ 0824,0,defect,1124,527.6512,117.1566,979,129,16
100109202028_Blue_Lane [1]_RackIndex[4]_Date_01_10_2020_ 0920,0,defect,1099,527.4258,116.9081,981,106,12
100109202028_Blue_Lane [2]_RackIndex[12]_Date_01_09_2020_ 0584,0,defect,1030,528.8796,115.2709,927,100,3
100109202028_Blue_Lane [2]_RackIndex[13]_Date_01_10_2020_ 1290,0,defect,1010,526.7664,114.4089,939,67,4
100109202028_Blue_Lane [4]_RackIndex[4]_Date_01_10_2020_ 0984,0,defect,1124,531.5908,117.5098,972,108,44
100109202028_Blue_Lane [4]_RackIndex[4]_Date_01_10_2020_ 1080,0,defect,1125,531.5982,117.5636,965,99,61
100109202028_Blue_Lane [4]_RackIndex[4]_Date_01_10_2020_ 1176,0,defect,1110,531.4756,117.4252,977,92,41
100109202028_Blue_Lane [6]_RackIndex[8]_Date_01_23_2020_ 1632,0,defect,865,527.3018,117.4451,718,114,33
100109202029_Blue_Lane [1]_RackIndex[5]_Date_01_10_2020_ 0634,0,defect,1443,462.3416,115.5135,1312,111,20
100109202029_Blue_Lane [1]_RackIndex[5]_Date_01_10_2020_ 0730,0,defect,1420,462.9887,115.7577,1294,111,15
100109202029_Blue_Lane [1]_RackIndex[5]_Date_01_10_2020_ 0826,0,defect,1397,463.3364,115.5047,1288,104,5
100109202029_Blue_Lane [1]_RackIndex[5]_Date_01_10_2020_ 0922,0,defect,1335,463.5198,115.3296,1204,102,29
100109202029_Blue_Lane [1]_RackIndex[14]_Date_01_10_2020_ 1260,0,defect,1223,464.3712,112.9779,1153,54,16
100109202029_Blue_Lane [2]_RackIndex[13]_Date_01_09_2020_ 0586,0,defect,1455,463.488,115.8323,1333,113,9
100109202029_Blue_Lane [4]_RackIndex[5]_Date_01_10_2020_ 0986,0,defect,1346,467.5282,116.6976,1190,115,41
100109202029_Blue_Lane [4]_RackIndex[5]_Date_01_10_2020_ 1082,0,defect,1360,467.6118,116.5978,1210,108,42
100109202029_Blue_Lane [4]_RackIndex[5]_Date_01_10_2020_ 1178,0,defect,1311,467.7552,115.9641,1166,138,7
100109202030_Blue_Lane [1]_RackIndex[6]_Date_01_10_2020_ 0636,0,defect,690,459.6319,119.8986,580,107,3
100109202030_Blue_Lane [1]_RackIndex[6]_Date_01_10_2020_ 0732,0,defect,723,459.8658,119.1521,574,148,1
100109202030_Blue_Lane [1]_RackIndex[6]_Date_01_10_2020_ 0828,0,defect,722,459.8573,119.4501,614,95,13
100109202030_Blue_Lane [1]_RackIndex[6]_Date_01_10_2020_ 0924,0,defect,755,460.3576,120.1232,669,63,23
100109202030_Blue_Lane [1]_RackIndex[11]_Date_01_10_2020_ 1254,0,defect,746,463.5898,117.7145,631,102,13
100109202030_Blue_Lane [2]_RackIndex[14]_Date_01_09_2020_ 0588,0,defect,558,467.31,113.8405,297,22,239
100109202030_Blue_Lane [4]_RackIndex[6]_Date_01_10_2020_ 0988,0,defect,825,465.1248,120.1842,677,88,60
100109202030_Blue_Lane [4]_RackIndex[6]_Date_01_10_2020_ 1084,0,defect,820,465.0744,119.7378,672,82,66
100109202030_Blue_Lane [4]_RackIndex[6]_Date_01_10_2020_ 1180,0,defect,831,465.0457,120.3959,690,89,52
100109202031_Blue_Lane [1]_RackIndex[1]_Date_01_10_2020_ 1234,0,defect,787,464.6404,117.798,691,81,15
100109202031_Blue_Lane [1]_RackIndex[7]_Date_01_10_2020_ 0638,0,defect,780,463.3269,118.1064,683,90,7
100109202031_Blue_Lane [1]_RackIndex[7]_Date_01_10_2020_ 0734,0,defect,761,463.5742,117.3022,658,92,11
100109202031_Blue_Lane [1]_RackIndex[7]_Date_01_10_2020_ 0830,0,defect,762,463.7677,118.0026,661,83,18
100109202031_Blue_Lane [1]_RackIndex[7]_Date_01_10_2020_ 0926,0,defect,792,464.2172,117.9886,650,114,28
100109202031_Blue_Lane [2]_RackIndex[15]_Date_01_09_2020_ 0590,0,defect,633,461.5324,116.4344,548,50,35
100109202031_Blue_Lane [4]_RackIndex[7]_Date_01_10_2020_ 0990,0,defect,776,467.0322,118.9124,644,107,25
100109202031_Blue_Lane [4]_RackIndex[7]_Date_01_10_2020_ 1086,0,defect,821,466.7881,117.2838,697,56,68
100109202031_Blue_Lane [4]_RackIndex[7]_Date_01_10_2020_ 1182,0,defect,791,467.019,118.263,706,66,19
100109202032_Blue_Lane [1]_RackIndex[8]_Date_01_10_2020_ 0640,0,defect,1189,555.4802,116.3103,1060,103,26
100109202032_Blue_Lane [1]_RackIndex[8]_Date_01_10_2020_ 0736,0,defect,1179,555.5895,115.2807,1052,107,20
100109202032_Blue_Lane [1]_RackIndex[8]_Date_01_10_2020_ 0832,0,defect,1172,555.8029,115.6297,1054,108,10
100109202032_Blue_Lane [1]_RackIndex[8]_Date_01_10_2020_ 0928,0,defect,1161,555.59,115.8829,1042,109,10
100109202032_Blue_Lane [3]_RackIndex[2]_Date_01_10_2020_ 1300,0,defect,1276,558.6575,116.6293,1125,83,68
100109202032_Blue_Lane [4]_RackIndex[8]_Date_01_10_2020_ 0992,0,defect,1180,559.4958,116.4492,1066,107,7
100109202032_Blue_Lane [4]_RackIndex[8]_Date_01_10_2020_ 1088,0,defect,1241,559.1177,116.4641,1052,106,83
100109202032_Blue_Lane [4]_RackIndex[8]_Date_01_10_2020_ 1184,0,defect,1228,559.2125,116.2256,1068,102,58
100109202033_Blue_Lane [1]_RackIndex[9]_Date_01_10_2020_ 0642,0,defect,830,528.4843,118.6819,663,118,49
